Page/group,Date of obs,Date of pub,Period of obs,Brief description,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Sad,Cares (new),Comments (No.),,Shares,"Fact checking, if possible"
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"video of minor scuffle between woman in black burqa and female police officers, voice over says it is a woman resisting lockdown in bareilly. Captioned as ""penguin needs solid treatment"" and comments urge for violent means to be used",C3,S3,A1 ,,12,2,1,19,1,1,,6,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"video of Saba Naqvi condemning anti-muslim rhetoric around covid, cites e.g. of Muslim owners of pharmaceuticals fighting covid, other prominent Muslim names like SRK, Javed Akhtar. Caption asking for an FIR against her for inciting communal divide because of her role since CAA protests and not condemning TJ for spreading virus. Comments all against her-sexist slurs, Islamophobia etc",C3,S1 ,,,16,,13,15,,,,55,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"video from Bawana of a young Muslim boy being accused by a group of men of injecting sedatives to cows to kill them, he denies it and says some other boys did it. No violence seen in video",C3,S2,,,,,,,,,,1,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"screenshot saying that thanks to secularism, Vinay Dubey is getting painted as sole mastermind behind Bandra station rumours and the names of thevother 3 Muslim people who are the real culprits, are being hidden by media",C4,S2,,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,content unavailable,Content unavailable,,,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"Pyara Hindustan clip blaming TJ, Islamic community, communist community, Chandrashekhar Azad, congress for the Bandra station incident and all terrorism in general blamed on Muslims. ""they must remain less than 20%""",C3,"S1, S2",,,41,,,,,,,4,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,content unavailable,Content unavailable,,,,37,,4,,1,,,4,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"videos of Muslim men &women arrested and being led away by police for attacking medical team in moradabad, UP. Captioned thanking the police for taking the 'jihadis'",C3,S1,,,37,1,10,,1,,,4,,,
Rashtriya Swayamsevak Sangh,16th April,16th April,11:30am-7:30pm,"video shared of Muslim women arrested and being led away by police for attacking medical team in moradabad, UP. Caption in this group mentions ""to live in UP you must say vande mataram"". Original caption celebrates arrest of terrorists and says that this is UP & Yogi not Delhi.",C3,S1,,,91,,,,,,,24,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"Shared man called Ajaz Khan's live video where he talks to a Hindu and a Muslim vegetable vendor and condemns the ""bhakts that are asking poor Muslim vendors for Aadhar cards and not buying from them"". Blames Modi and his godi media. Comments in this group range from dismissive to abusive but none are apologetic",C3,,,,30,,38,13,,,,121,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"video of Pushpendra Kulshreshtha speaking- Anti-Islam, anti-Shaheen bagh, says the majority has never picked up arms against the jihadis and riots but no more critcism of bharat rashtra will be tolerated. ",C3,S1,,,5,,,,,,,5,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"asks for all Hindus to pledge against buying Hamdard Sharbat Roohafza because ""Jamaatis may have spit in it""",C5,,A2,,11,,,,,,,13,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"video of man speaking about moradabad women throwing stones at medical personnel - using heavy sarcasm to mock those who call it deliberate persecution against Muslims, mocking secularism as hypocritical. E.g says ""don't attack Islam, it is their right to practice their religion even if that means injuring doctors and breaking their legs""",C3,S3,,,5,,8,1,,,,9,"interestingly, there are abusive comments against him which means not everyone understood his humour even though it is quite obvious. ",,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"a short poem, translation: ""Leave Hindu Muslims, Leave Temple Mosque, Let's get heart to heart, break  down Jama Masjid and build a hospital""",C5,,A1,,95,8,13,,,,,82,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,Patrika Uttar Pradesh news coverage (incl interviews) of Muslim vendors being boycotted and not even allowed into villages. Blames social media hatred and disinformation after TJ for these boycotts,C3,,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),16th April,16th April,11:30am-7:30pm,"stating ""the community whose women throw bricks at doctors, from their womb only terrorists will be born, no patriot. Moradabad.""",C5,S1,,,3,,,,,,,,,,
Vishwa Hindu Parishad,16th April,,,NO NEW POSTS,,,,,,,,,,,,,,,
SurySagarji GuruDev,16th April,16th April,11:30am-7:30pm,"video of female police officers preparing food to be distributed. Caption: praising police, condemning anti-police acts of violence, asks govt to allow officers to shoot those committing these acts, says Muslim policemen should only be serving where they are outnumbered by 20 times the amount of Hindu policemen",C3,S1,A4,,154,15,,,,,,32,,45,
Amit Prajapati Hindu,16th April,16th April,11:30am-7:30pm,"shared video of Salman Khan condemning those not cooperating with police and doctors, urges people not to be foolish and risk the country. No caption/comments",C3,,,,25,,,,,,,,,13,
Amit Prajapati Hindu,16th April,16th April,11:30am-7:30pm,"caption ""The behavior of religion is the true religion"", content unavailable",Content unavailable,,,,,,,,,,,,,,
Amit Prajapati Hindu,16th April,15th April,11:30am-7:30pm,"picture of damaged police vehicle from Moradabad and one of HRD throwing garlands on a police vehicle. Captioned as ""you continue to throw stones, you pigs, we will continue to raise morale by wreathing the corona fighters""",C4,"S1, S4",,,51,3,,1,,,,,,3,
Amit Prajapati Hindu,16th April,15th April,11:30am-7:30pm,"pictures of broken police vehicle from Moradabad and injured doctor, unclear video of flowers being thrown on Muslim women essential workers. Together captioned as ""While one community is showering flowers on some corona fighters, the same community is showering sticks on some special corona fighters. Boycott them completely""","C3, C4",,A2,,15,,,1,,,,,,,
We Support Narendra Modi,17th April,17th April,12-8pm,praising those who have not downloaded TikTok,C5,,,,359,,,,,,,206,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"screenshot of 2 tweets: ""what's the difference between dogs and indians?"" ""a border"" [calling Pakistanis dogs]",C4,"S1, S3",,,435,33,471,1,5,1,,144,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"TikTok video by a man called Shadab Khan, which has 2 men pretending to spit on their hands before shaking hands with a woman who scorned them, with background music added [appears to be a mockery of current 'thook jihad' disinformation]. Captioned in this group asking for Shadab to be banned from tiktok and arrested; calls him a virus",C3,S1,,,38,,9,50,1,3,,61,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"Fake movie trailer starring Ajay Bisht as protagonist, incl. montage of real and fake clips edited together - basically glorifying him as a leader. Captioned as Jai shri ram, comments repeat the same ",C3,,,,480,45,10,,6,3,,34,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"montage of decontextualized clips from different speeches by Muslim speakers, ranging from opposing CAA to advocating violence against those who seek to destroy them",C3,"S1, S2",,,10,,4,6,,,,10,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"video of female police officers hitting group of women with lathis and putting them into a police jeep. These are apparently the women who threw bricks at a medical team in Moradabad. Captioned as ""our lionesses taking their lionesses to a circus""",C3,S3,,,13,2,12,,1,,,1,,,
We Support Narendra Modi,17th April,17th April,12-8pm,"picture of article in Amar Ujala (mahanagar) about the court opening at 3am to arrest and jail 17 people connected to Moradabad incident. Caption ""Earlier in the middle of the night, the courts were opened to stop the hanging of the terrorists, but Yogi Baba opened the court to punish the terrorists""",C4,,,,177,,,,,,,14,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"2 videos edited together, of a Muslim police officer in Rajasthan abusing Hindus and second video is the same person asking for forgiveness for his words. Caption calling him a jihadi",C3,S1 ,,,13,,2,8,,1,,10,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"Shared man called Ajaz Khan's live video where he talks to a Hindu and a Muslim vegetable vendor and condemns the ""bhakts that are asking poor Muslim vendors for Aadhar cards and not buying from them"". Blames Modi and his godi media. Caption criticizes him for spitting on the road while talking in the video (it looks like he is faking though), calls him corona jihadi and asks for arrest",C3,S1,,,2,,,3,,,,12,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"unclear context of what appears to be a type of ritual, a video of Muslim men gathered around a large round pot of something, and collectively praying(?). One man bends down to a spoon of something that is then put in the pot, caption describes this as spitting to spread coronavirus",C3,S2,,,,,1,3,,,,,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"context unclear, video of policeman in Sitapur describing how a local called Iqbal Hussain was gathering people and telling them to not follow the lockdown",C3,S2,,,76,,,35,,7,,20,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,video of female police officers hitting group of women with lathis and putting them into a police jeep. These are apparently the women who threw bricks at a medical team in Moradabad. Caption making a joke about 'health and fitness' and praising the police and CM of UP,C3,S3,,,21,1,13,,,,,1,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"video of a Dr Firoz Khan who has a clinic but seems to be actually selling chicken inside and not just meds. Caption says ""nothing can be done about these people""",C3,,,,2,,,,,,,,,,
Rashtriya Swayamsevak Sangh,17th April,17th April,12-8pm,"states that ""post coronavirus, jobs in china will move to India because the West will set up manufacturing units here and increase investments. Unemployment will be eradicated in India (guaranteed minimum wage like the Soviet Union). Ultimately coronavirus will be found to be orchestrated by RAW to eradicate poverty""",C5,,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"Asking Indian Muslims ""are you born traitors or do you take lessons in the madrasas for that?""",C5,"S1, S5",,,49,,,,,,,29,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"video of a man in UP shooting a woman twice in cold blood while robbing her, video recorded by neighbours on rooftops calling out to stop but no one steps in",C3,,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"video of a Sikh man speaking about how Sikhism is a sect of Hinduism and not a separate religion, captioned as ""true Sanatan religion""",C3,,,,11,3,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"2 videos edited together, of a Muslim police officer in Rajasthan abusing Hindus and second video is the same person asking for forgiveness for his words. Caption calling him a jihadi",C3,S1,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"Pushpendra Kulshreshtha page's video of people silently leaving a Masjid late at night, captioned as ""Where is this group going at midnight, where is the government drone""",C3,,A4,,1,,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"1 video & 1 screenshot: TikTok video by a man called Shadab Khan, which has 2 men pretending to spit on their hands before shaking hands with a woman who scorned them, with background music added [appears to be a mockery of current 'thook jihad' disinformation]. Screenshot of his full Tiktok profile, caption asking TikTok to ban him","C3, C4",,,,3,,,7,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,video of woman asking vegetable vendor for his aadhar card and whether he is hindu or muslim. When he says Muslim she tells him to go sell his produce in a Muslim neighborhood and that they will not buy it here. Caption calls this a response to TJ and that they have created a question mark around the whole community. Comments agree with the woman's actions.,C3,,A3,,26,3,1,,3,,,4,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),17th April,17th April,12-8pm,"video of men who got picked up by police in Moradabad for stone pelting, crying in the police jeep and begging for mercy, saying they are innocent. Captioned as ""jai shri ram, here's a new video brothers, the apology of the stone pelters""",C3,,,,11,,10,,,,,1,,,
Vishwa Hindu Parishad,17th April,,12-8pm,NO NEW POSTS,,,,,,,,,,,,,,,
SurySagarji GuruDev,17th April,17th April,12-8pm,"Poster of a shloka that translates as: ""Non-violence is the ultimate duty, but you have to choose the path of Violence to protect the world from evils""",C4,S4,,,155,18,,,,,,30,,22,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"video of what appear to be hindu raksha dal members getting garlanded for their service, caption thanking them",C3,,,,50,9,,,,,,16,,1,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"FB live: HRD community kitchen, food being prepared to distribute",C3,,,,31,,,,,,,2,,3,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"shared video by Peepal Farm (""animal rescue enterprise"") talking about preventing harm to cows (benign)",C3,,,,5,,,,,,,,,3,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"video of men feeding cows, caption saying HRD is proud of them",C3,,,,14,2,,,,,,1,,,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"news clip of ""Wehindustan News"" praising HRD for garlanding doctors and safai karamcharis",C3,,,,,,,,,,,,,,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"shared a man's commentary on the Ajaz Khan video mentioned earlier. Commentary says backlash to Muslim vendors is the fault of the Muslim community doing violent acts (spitting to spread virus, attacking medical personnel etc). Says Ajaz Khan should have been beaten for his video ",C3,S2,A1,,22,4,5,2,,,,8,,10,
Amit Prajapati Hindu,17th April,16th April,12-8pm,screenshots of article by UT news (Unique TV News) on HRD garlanding police and safai karamcharis,C4,,,,10,,,,,,,,,,
Amit Prajapati Hindu,17th April,17th April,12-8pm,"picture of Ram (mythological figure) with a doctor's white coat and a policeman's hat. Captioned saying ""Put the NSA, but no act or law can compensate the army or doctors for getting hit by sticks, stones etc."" also mentions ""#jaahil_jamaati""",C4,S1,,,2,,,,,,,,,,
Amit Prajapati Hindu,17th April,17th April,12-8pm,shared and supported Babita Phogat's video where she talks about standing by her tweet against TJ. Says she will not be like Zaira Wasim and hide from public criticism. ,C3,,,,10,,,,,,,,,2,
We Support Narendra Modi,18th April,18th April,12-8pm,"Asking people who they think is the best CM of UP: Akhilesh, Maywati or Yogi Adityanath. Most people answered C) Yogi",C4,S5,,,61,,,,,,,171,,,
We Support Narendra Modi,18th April,17th April,12-8pm,"screenshot stating that Kejriwal wrote a letter to the Home Ministry describing TJ as innocent group who did not have a 'plot'. Comments disapprove, call Kejriwal an anti-national",C4,,,,28,,8,15,,,,38,,,
We Support Narendra Modi,18th April,18th April,12-8pm,"3 videos, caption claims an incident of violence against Vishnu Prajapati, Shanthi Prajapati and Ashok Prajapati of Gopipur village in UP. 2 videos are of men from the family appealing to the public via social media for help, 3rd video is a short clip of the attack (scuffle between a group holding sticks and stones). No context given anywhere in terms of reasons for the violence. Unsure if religiously motivated",C3,,,,,,,,,,,,,,
We Support Narendra Modi,18th April,18th April,12-8pm,"long post trying to justify current anti-muslim sentiment as being based on ""facts"" (TJ, Mughal invaders, Delhi riots etc) and not blind communal hate. At the end advocates boycotting entire muslim community",C5,"S1, S2","A2, A3",,2,,,,,,,,,,
We Support Narendra Modi,18th April,18th April,12-8pm,"video of Hindu woman describing how Islam instructs its followers to painfully torture Hindus (and hence TJ conspiracy). Mentions Guru Gobind Singh's childrens' death, Kashmiri Pundit violence, Delhi riots - Ankit Sharma stabbed 400 times",C3,"S1, S2",,,26,,,,,,,5,,,
We Support Narendra Modi,18th April,18th April,12-8pm,"montage of Modi walking, captioned praising PM's walking style",C3,,,,23,3,,,,,,1,,,
We Support Narendra Modi,18th April,18th April,12-8pm,shared and supported Babita Phogat's video where she talks about standing by her tweet against TJ. Says she will not be like Zaira Wasim and hide from public criticism. ,C3,,,,12,,,,,,,2,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,"shared video of soldiers in MP beating people at a Namaaz gathering with sticks and arresting them. Captioned as 'satisfying video', comments agree and some ask for more violent action",C3,S4,,,169,22,48,1,1,,,55,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,"video of safai karamcharis in Khategaon saying they will not clean Muslim areas, even if the SDM instructs them to do so",C3,,A3,,130,15,2,,,,,22,,,
Rashtriya Swayamsevak Sangh,18th April,17th April,12-8pm,"video of police dispersing gathering from a masjid, beating the men with sticks. Captioned with a song lyric (mocking)",C3,S3,,,162,9,145,1,1,,,8,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,"video of soldiers in MP beating people at a Namaaz gathering with sticks and arresting them. Caption comparing videos of this nature (police beating Muslims, presumably) with the IPL in terms of live action entertainment",C3,S3,,,22,4,1,,,,,1,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,video about 'corona jihad' in Indore - currency notes being picked up by police using gloves and sticks. Spread as having been planted there but in fact the money was dropped accidentally by a delivery person. Fake news,C3,S2,,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,"picture of Muslim vegetable vendor, caption is the same long post trying to justify current anti-muslim sentiment as being based on ""facts"" (TJ, Mughal invaders, Delhi riots etc) and not blind communal hate. At the end advocates boycotting entire muslim community",C4,"S1, S2","A2, A3",,13,,,,,,,3,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,"post about how Hinduism is suffering today due to discarding dharmic practices in favour superficial Western practices. Not explained clearly but makes references to older times when polygyny was acceptable, and also how currently Hindus have distanced from cultivating land in favour of white collar jobs. Also blames casteism and untouchability for ""breaking the back of Hinduism"". Nothing criticizing other religions.",C5,,,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,18th April,18th April,12-8pm,video montage of RSS clips with a patriotic song in the background,C3,,,,80,,,,,,,3,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,"Fb live video of Ajaz Khan going to Khar police station after case filed against him for his earlier video, captioned here asking mumbai police not to let it go",C3,,,,1,1,1,,,,,3,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,video of 2 policemen beating up a man - no context given. Originally captioned asking people to make the video go viral so that the policemen are suspended,C3,,,,,,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,"multiple videos edited together, of policemen beating Muslims. Captioned as ""The overwhelming assault of the Muslims who attacked the police."" (as to who instigated these incidents, no way to find out)",C3,S2,,,6,1,,,,,,2,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,shared video of soldiers in MP beating people at a Namaaz gathering with sticks and arresting them. Captioned as 'satisfying video'.,C3,S1,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,"2 videos edited together: man at shaheen bagh anti CAA protest shouting ""kaagaz nahi dikhayenge"", and the other is Muslim women sitting on the road in a long queue for the bank, during lockdown",C3,,,,1,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,"video of Kailash Kher saying ""these people are enemies of humanity, even though the crisis will pass, we must not forgive or forget"". Captioned as ""after Babita Phogat, now Kailash  Kher is entering the battlefield, how many can you stop?""",C3,S1,,,3,2,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),18th April,18th April,12-8pm,"video of young Muslim boy in Shyam Nagar, Up, with torn clothes, explaining that he was beaten up just because he was wearing a kurta pyjama (they identified him as Muslim through that). They asked if he had come to do Namaaz while beating. He says he in fact came there to take tuition. No engagement on this yet on the group, no caption either.",C3,,,,,,,,,,,,,,
Vishwa Hindu Parishad,18th April,,,NO NEW POSTS,,,,,,,,,,,,,,,
SurySagarji GuruDev,18th April,18th April,12-8pm,"screenshot of a notification to him from FB, stating ""Your page is at risk of being unpublished due to continued Community Standards Violations. SSG captioned it saying ""thank you, friends who reported, God lift you up""",C4,,,,16,,,1,1,6,,7,,,
SurySagarji GuruDev,18th April,18th April,12-8pm,"loosely translated as ""In whose hands I gave flowers, stones from those hands came looking for me"". No other context given",C5,,,,186,2,1,,2,13,,32,,18,
Amit Prajapati Hindu,18th April,18th April,12-8pm,video of HRD members working in the kitchen preparing food for distribution,C3,,,,124,9,,,1,,,24,,41,
We Support Narendra Modi,20th April,20th April,12-8pm,"pictures of Naga sadhus (shaivite movement) gathered, caption says ""raised a hand against the saffron and made a mistake, now see what happens, the order has come from Juna Akhara"" [seems to refer to sadhus lynched in Palghar, Maharashtra]",C4,S4,A1,,6,,,,,,,1,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"Video of a monk from Juna Akhada speaking to all Hindus incl. officials of Juna Akhada, expressing importance of Palghar incident and Hindus facing threats/violence in the country. Calls to all Hindus to wake up and fight for their religion, not to wait for the fight to reach their homes. No specific action prescribed",C3,S4,A1,,18,,,,,2,,6,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"video of female juna akhada follower speaking about Palghar lynching, saying Hinduism as spirituality is being attacked through its Sadhus, asking for Hindus to rise. captioned as ""scripture happened, debate has happened, now it is time to take up arms""",C3,S4,A1,,35,4,,,,,,1,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"2 videos of the Palghar lynching, mob (incl policemen) beating the two apparent sadhus with sticks. Captioned as advocating hanging as punishment for the ""sinners who murdered innocent sadhus""",C3,,,,5,,,1,,4,,6,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"FB watch party: SuryaSagarji GuruDev speaking on Palghar incident, aired on channel ""News Live Now"" (hour long) criticism of the fact that sadhus' safety is not sacred",C3,,,,36,6,,2,,2,,7,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"video of Palghar lynching (same as before), caption calling the mob ""jihadi"" and (mockingly) ""shanti dut"" (meaning is peaceful, has become somewhat synonymous for anti-CAA - predominantly muslim - protest crowds)",C3,S1,,,5,,,4,,4,,1,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"video of some men beating up a policeofficer, context unknown, captioned asking as to what should be done with these anti national traitors (no comments yet)",C3,S1,,,1,,,11,,,,,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"video of Palghar lynching (same as before), captioned as ""2 innocent Hindu saints going to funerals in Palghar, Maharashtra and their driver were beaten to death by *community specific* "" [seems to be implying Muslim without saying it]",C3,S2,,,8,,,1,,1,,6,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"Reuters video of devout Muslims in Karachi speaking about having faith Allah protecting them from catching coronavirus. Captioned as ""Many devout Muslims in Pakistan are disregarding a government ban on religious gatherings. They say only ""infidels"" can catch Covid-19.""",C3,,,,,,,,,,,,,,
We Support Narendra Modi,20th April,20th April,12-8pm,"video of Palghar lynching (same as before), caption calling the mob ""jihadi"" and (mockingly) ""shanti dut"" (meaning is peaceful, has become somewhat synonymous for anti-CAA - predominantly muslim - protest crowds)",C3,S1,,,,,,1,,,,,"same caption as one of the earlier posts, even though it’s a different original poster",,
Rashtriya Swayamsevak Sangh,20th April,19th April,12-8pm,"calling for the ""sinners who murdered innocent sadhus in Maharashtra"" to be hung as punishment. Cpmments agree",C5,,,,574,4,,42,,9,,268,,,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,"video of Palghar lynching, captioned ironically ""The ruthless killing of two sadhus in Palghar, and that too under the protection of the police… May secularism remain immortal!"". Comment section agreeing that Hindus are in danger in India",C3,,,,32,,,74,,33,,41,,,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,digital artwork (poster) of a sadhu surrounded by dark shadowy figures with weapons. Caption stating that the police was not helpless in Palghar but actively allowed the mob to lynch the two men instead of fighting the mob themselves. Says the policemen were probably acting in someone else's political interests ,C4,,,,42,,1,8,,10,,7,,,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,"video of female juna akhada follower speaking about Palghar lynching, saying Hinduism as spirituality is being attacked through its Sadhus, asking for Hindus to rise. captioned as ""scripture happened, debate has happened, now it is time to take up arms""",C3,,A1,,81,,,,,,,11,"same video & caption as in WSNM, but posted by different users",,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,"video of a massive crowd of sadhus etc - akhil bhartiya akhada council - rally of some kind, many holding what look like types of long sticks or weapons",C3,,,,2,,,,,,,,,,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,"video of female juna akhada follower speaking about Palghar lynching, saying Hinduism as spirituality is being attacked through its Sadhus, asking for Hindus to rise. captioned as ""scripture happened, debate has happened, now it is time to take up arms""",C3,,A1,,4,,,,,,,,,,
Rashtriya Swayamsevak Sangh,20th April,20th April,12-8pm,"2 videos of the Palghar lynching, mob (incl policemen) brutally beating the two sadhus with sticks. Captioned condemning ruthless killing of elderly monks, marks this is a first of its nature ",C3,,,,1,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"about the Palghar lynching, asking for all who did it to be hanged and the act openly condemned",C5,,,,57,2,,4,,3,,27,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"video of old man being beaten in a Muslim dominated neighboorhood, caption asking for action to be taken by the govt",C3,,,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"video of female juna akhada follower speaking about Palghar lynching, saying Hinduism as spirituality is being attacked through its Sadhus, asking for Hindus to rise. captioned as ""scripture happened, debate has happened, now it is time to take up arms""",C3,,A1,,30,6,1,,,1,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"screenshot talking about how Maharashtra govt won't be able to handle the crores of bhakts that could descend - combination of mahakal ke bhakt, kaali ma ke bhakt, bhagwan Parshuram ke bhakt, Durga ma ke bhakt, Bajrang ke bhakt, and Modi and Yogi ke bhakt.",C4,,,,127,11,,,1,,,10,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"video of Palghar lynching, captioned asking where the media and award-returning gang are that label death of criminals as mob lynchings, criticizing Congress, Uddhav Thackery and the policemen who allowed it to happen.",C3,,,,2,,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,"video of Ajaz Khan being arrested, captioned supporting the act and condemning him for criticizing PM Modi",C3,,,,6,3,7,,,,,4,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),20th April,20th April,12-8pm,video of Palghar lynching,C3,,,,1,,,,,,,,,,
Vishwa Hindu Parishad,20th April,,12-8pm,NO NEW POSTS,,,,,,,,,,,,,,,
SurySagarji GuruDev,20th April,20th April,12-8pm,"poster that has his face and text advertising his segment at 1pm today, 20th April 2020, on Sudarshan News Facebook Live speaking on the Palghar lynching of innocent sadhus",C4,,,,747,,,,,,,90,,136,
SurySagarji GuruDev,20th April,19th April,12-8pm,"FB live: reciting a poem by Samiksha Singh Jadaun - O monk, if you were a maulana, you would not get killed in the middle of the road.
",C3,"S1, S2",,,897,9,,22,,202,,149,,347,
SurySagarji GuruDev,20th April,19th April,12-8pm,"link to Sudarshan News Facebook post on Palghar lynching, asking people to follow the page",C6,,,,132,,,,,,,27,,10,
Amit Prajapati Hindu,20th April,20th April,12-8pm,"shared Pinky Chaudhury HRD's pictures sitting in front of news cameras, apparently to raise their voices against the Palghar lynching ",C4,,,,3,,,,,,,,,,
Amit Prajapati Hindu,20th April,20th April,12-8pm,video of HRD community kitchen running comfortably to provide food,C3,,,,7,,,,,,,,,1,
Amit Prajapati Hindu,20th April,20th April,12-8pm,"video of the actor for Ravana in the Ramayana serial, watching the show at home at age 84",C3,,,,2,,,,,,,,,,
Amit Prajapati Hindu,20th April,20th April,12-8pm,"stating ""Maharashtra Police detains 101 people, including 9 minors"" [Palghar]",C5,,,,88,2,,2,,2,,13,,4,
